"id","jel"
"aer_101_3_6","D"
"aer_101_3_64","D"
"aer_101_3_68","D"
"aer_101_3_69","D"
"aer_101_3_7","D"
"aer_101_3_70","D"
"aer_101_3_71","D"
"aer_101_3_72","D"
"aer_101_3_74","D"
"aer_101_3_77","D"
"aer_101_3_78","D"
"aer_101_3_79","D"
"aer_101_3_80","D"
"aer_101_3_83","D"
"aer_101_3_90","D"
"aer_101_3_94","D"
"aer_101_3_97","D"
"aer_101_4_10","D"
"aer_101_4_11","D"
"aer_101_4_16","D"
"aer_101_4_18","D"
"aer_101_4_19","D"
"aer_101_4_20","D"
"aer_101_4_22","D"
"aer_101_4_3","D"
"aer_101_4_6","D"
"aer_101_4_7","D"
"aer_101_4_9","D"
"aer_101_5_10","D"
"aer_101_5_15","D"
"aer_101_5_16","D"
"aer_101_5_18","D"
"aer_101_5_20","D"
"aer_101_5_21","D"
"aer_101_5_22","D"
"aer_101_5_6","D"
"aer_101_5_7","D"
"aer_101_6_1","D"
"aer_101_6_10","D"
"aer_101_6_12","D"
"aer_101_6_16","D"
"aer_101_6_18","D"
"aer_101_6_5","D"
"aer_101_6_7","D"
"aer_101_7_1","D"
"aer_101_7_14","D"
"aer_101_7_17","D"
"aer_101_7_2","D"
"aer_101_7_3","D"
"aer_101_7_4","D"
"aer_101_7_5","D"
"aer_101_7_7","D"
"aer_101_7_9","D"
"aer_102_1_1","D"
"aer_102_1_13","D"
"aer_102_1_14","D"
"aer_102_1_16","D"
"aer_102_1_19","D"
"aer_102_1_2","D"
"aer_102_1_3","D"
"aer_102_1_6","D"
"aer_102_1_7","D"
"aer_102_2_10","D"
"aer_102_2_19","D"
"aer_102_2_2","D"
"aer_102_2_3","D"
"aer_102_2_6","D"
"aer_102_2_7","D"
"aer_102_2_8","D"
"aer_102_3_10","D"
"aer_102_3_23","D"
"aer_102_3_25","D"
"aer_102_3_26","D"
"aer_102_3_4","D"
"aer_102_3_46","D"
"aer_102_3_5","D"
"aer_102_3_50","D"
"aer_102_3_51","D"
"aer_102_3_53","D"
"aer_102_3_54","D"
"aer_102_3_55","D"
"aer_102_3_56","D"
"aer_102_3_57","D"
"aer_102_3_6","D"
"aer_102_3_60","D"
"aer_102_3_61","D"
"aer_102_3_62","D"
"aer_102_3_7","D"
"aer_102_3_8","D"
"aer_102_3_9","D"
"aer_102_4_12","D"
"aer_102_4_13","D"
"aer_102_4_16","D"
"aer_102_4_17","D"
"aer_102_4_20","D"
"aer_102_4_5","D"
"aer_102_4_6","D"
"aer_102_4_8","D"
"aer_102_4_9","D"
"aer_102_5_11","D"
"aer_102_5_14","D"
"aer_102_5_15","D"
"aer_102_5_16","D"
"aer_102_5_17","D"
"aer_102_5_4","D"
"aer_102_5_5","D"
"aer_102_5_7","D"
"aer_102_6_1","D"
"aer_102_6_15","D"
"aer_102_6_16","D"
"aer_102_6_17","D"
"aer_102_6_18","D"
"aer_102_6_19","D"
"aer_102_6_2","D"
"aer_102_6_23","D"
"aer_102_6_24","D"
"aer_102_6_3","D"
"aer_102_6_4","D"
"aer_102_6_5","D"
"aer_102_6_8","D"
"aer_102_6_9","D"
